"2022-10-11 00:44:55am "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:45:13am "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:46:08am "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:46:27am "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:46:58am "," insert ","  "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:47:29am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Manufacturing Defect', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:49:06am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Physical Damage', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:52:21am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Physical Damage', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:53:47am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Physical Damage', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:57:04am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Physical Damage', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
"2022-10-11 00:57:20am "," insert "," INSERT INTO return_request(`customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('1', '5', 'OD202223-11664816460', '7', '2022-10-03', '2022-10-11', 'Product with Physical Damage', 1, 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0000337"",""account_no"":""12345678963"",""account_name"":""ROSHNI"",""phone_no"":""7894561231""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-request "," R: http://localhost/MultiVendor/order-detail?id=5"
