"2022-12-21 04:14:44am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:14:55am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '4' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:16:26am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:16:26am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'Sagar', 'vslsix', 'sagarvsl6@gmail.com', '78945612322', 'test
Apt', 'City', 'Gujarat', '396001', 'India', 'test
Apt'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:16:52am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:16:52am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'deep', 'mistry', 'deep@gmail.com', '08866562233', 'test', 'vapi', 'Gujarat', '396001', 'India', 'test'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:17:03am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:17:06am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:17:09am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '3' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:19:08am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:19:08am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'Roshni', 'mistry', 'mistryroshni13@gmail.com', '1111111111', '20, shivcharan socity -2,.b/h somnath temple', 'Bilimora', 'Gujarat', '396321', 'India', '20, shivcharan socity -2,.b/h somnath temple'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:19:34am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:19:34am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'Nitin', 'Patel', 'alpa@gmail.com', '5555555555', '41,test', 'vapi', 'Gujarat', '396174', 'India', '41,test'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:30:38am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:30:38am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'Roshniaaaa', 'mistry', 'mistryroshni13@gmail.com', '1111111111', '20, shivcharan socity -2,.b/h somnath temple', 'Bilimora', 'Gujarat', '396321', 'India', '20, shivcharan socity -2,.b/h somnath temple'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:30:51am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:30:51am "," insert "," INSERT INTO customer_address(`customer_id`, `first_name`, `last_name`, `email`, `mobile`, `address`, `city`, `state`, `pincode`, `country`, `address_type`, `set_default`, `created_by`, `created`, `is_active`) VALUES('1', 'Roshniaaaabb', 'mistry', 'mistryroshni13@gmail.com', '1111111111', '20, shivcharan socity -2,.b/h somnath temple', 'Bilimora', 'Gujarat', '396321', 'India', '20, shivcharan socity -2,.b/h somnath temple'_type, NULL, '1', '2022_12-21', 1) "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:32:15am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:32:15am "," update "," UPDATE customer_address SET `customer_id` = '1', `first_name` = 'Roshni123', `last_name` = 'mistry', `email` = 'mistryroshni13@gmail.com', `mobile` = '1111111111', `address` = '20, shivcharan socity -2,.b/h somnath temple', `city` = 'Bilimora', `state` = 'Gujarat', `pincode` = '396321', `country` = 'India', `address_type` = '20, shivcharan socity -2,.b/h somnath temple'_type, `set_default` = NULL, `modified` = '2022_12-21' WHERE 1=1  and address_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/add-cust-address "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:32:28am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '10' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:32:31am "," delete "," DELETE FROM customer_address WHERE 1=1  and address_id = '9' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/deleteAddress "," R: http://localhost/EthnicWear/my-account"
"2022-12-21 04:47:59am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
"2022-12-21 04:47:59am "," update "," UPDATE customer_address SET `set_default` = 1 WHERE 1=1  and address_id = NULL and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
"2022-12-21 04:48:09am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
"2022-12-21 04:48:09am "," update "," UPDATE customer_address SET `set_default` = 1 WHERE 1=1  and address_id = '8' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
"2022-12-21 04:48:16am "," update "," UPDATE customer_address SET `set_default` = 0 WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
"2022-12-21 04:48:16am "," update "," UPDATE customer_address SET `set_default` = 1 WHERE 1=1  and address_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/change-delivery-address "," R: http://localhost/EthnicWear/checkout"
